model_name,avg_fps,total_detections,parked_vehicles,tracking_gaps,vehicles_with_issues,tracking_quality_score,overall_score,processing_time,total_experiment_time
yolov8n,19.472374124528905,99408,20,4924,776,95.05,87.49,1178.5173478126526,1178.6219539642334
yolov8s,11.630176186305718,146139,16,4728,813,96.76,80.33,1813.7367401123047,1813.7810912132263
yolov8m,6.291224082066314,166295,22,3392,692,97.96,75.48,3132.39884185791,3132.459418773651
yolov8l,3.7059699277269385,176918,18,2874,592,98.38,73.06,5119.5464408397675,5119.628993988037
yolov8x,2.81775820772762,180131,19,2915,588,98.38,72.17,6660.1288158893585,6660.230507850647
