track_id,area_id,time,frame,duration
2,2,30.033333333333335,901,30.0
8,1,30.033333333333335,901,30.0
4,2,30.033333333333335,901,30.0
6,2,30.033333333333335,901,30.0
353,1,48.833333333333336,1465,30.033333333333335
904,2,78.63333333333334,2359,30.000000000000007
922,2,79.43333333333334,2383,30.000000000000007
1673,2,114.1,3423,30.0
3360,2,185.2,5556,30.0
3772,1,204.5,6135,30.0
4634,1,249.46666666666667,7484,31.0
6908,1,362.8666666666667,10886,30.0
7255,1,372.2,11166,30.0
8311,2,426.2,12786,30.033333333333303
9184,1,481.5,14445,30.0
9700,1,500.06666666666666,15002,30.23333333333335
