track_id,area_id,time,frame,duration
2,2,30.033333333333335,901,30.0
5,2,30.033333333333335,901,30.0
6,2,30.033333333333335,901,30.0
7,1,30.033333333333335,901,30.0
3,1,30.033333333333335,901,30.0
461,2,78.3,2349,30.0
464,2,78.66666666666667,2360,30.000000000000007
482,2,79.4,2382,30.03333333333334
1409,1,163.4,4902,30.0
2015,2,206.96666666666667,6209,30.0
2876,1,289.46666666666664,8684,31.23333333333329
3800,1,361.46666666666664,10844,30.0
3812,1,362.46666666666664,10874,30.0
4118,1,377.5,11325,30.0
4652,1,421.2,12636,30.033333333333303
4815,2,426.03333333333336,12781,30.0
4834,2,426.8,12804,30.0
5370,1,480.73333333333335,14422,30.0
5437,1,485.46666666666664,14564,30.0
