track_id,lost_frame,found_frame,gap_duration_frames,gap_duration_seconds
543,1002,1003,1,0.03333333333333333
543,1110,1111,1,0.03333333333333333
547,1004,1006,2,0.06666666666666667
547,1015,1016,1,0.03333333333333333
547,1095,1096,1,0.03333333333333333
547,1098,1100,2,0.06666666666666667
547,1110,1111,1,0.03333333333333333
545,1008,1009,1,0.03333333333333333
545,1122,1124,2,0.06666666666666667
319,1032,1034,2,0.06666666666666667
319,1035,1036,1,0.03333333333333333
319,1043,1044,1,0.03333333333333333
558,1034,1035,1,0.03333333333333333
558,1036,1043,7,0.23333333333333334
558,1044,1046,2,0.06666666666666667
565,1038,1051,13,0.43333333333333335
565,1084,1086,2,0.06666666666666667
3,1051,1052,1,0.03333333333333333
580,1080,1083,3,0.1
580,1084,1086,2,0.06666666666666667
580,1087,1098,11,0.36666666666666664
580,1099,1114,15,0.5
580,1115,1117,2,0.06666666666666667
580,1119,1120,1,0.03333333333333333
580,1131,1132,1,0.03333333333333333
580,1244,1249,5,0.16666666666666666
577,1083,1084,1,0.03333333333333333
577,1086,1087,1,0.03333333333333333
577,1090,1091,1,0.03333333333333333
577,1092,1094,2,0.06666666666666667
577,1096,1099,3,0.1
577,1102,1103,1,0.03333333333333333
577,1107,1110,3,0.1
577,1111,1115,4,0.13333333333333333
585,1090,1095,5,0.16666666666666666
571,1062,1100,38,1.2666666666666666
571,1111,1114,3,0.1
571,1115,1116,1,0.03333333333333333
522,1102,1111,9,0.3
522,1114,1115,1,0.03333333333333333
522,1116,1117,1,0.03333333333333333
614,1146,1149,3,0.1
614,1161,1164,3,0.1
614,1167,1168,1,0.03333333333333333
614,1287,1288,1,0.03333333333333333
614,1323,1324,1,0.03333333333333333
614,1330,1331,1,0.03333333333333333
614,1332,1333,1,0.03333333333333333
614,1382,1384,2,0.06666666666666667
636,1179,1182,3,0.1
636,1186,1187,1,0.03333333333333333
636,1189,1192,3,0.1
636,1212,1213,1,0.03333333333333333
636,1223,1224,1,0.03333333333333333
636,1241,1242,1,0.03333333333333333
636,1272,1278,6,0.2
636,1284,1285,1,0.03333333333333333
652,1236,1254,18,0.6
652,1255,1256,1,0.03333333333333333
652,1257,1272,15,0.5
652,1273,1275,2,0.06666666666666667
652,1481,1482,1,0.03333333333333333
694,1331,1332,1,0.03333333333333333
697,1372,1373,1,0.03333333333333333
697,1374,1376,2,0.06666666666666667
695,1402,1404,2,0.06666666666666667
695,1466,1482,16,0.5333333333333333
705,1397,1406,9,0.3
714,1412,1413,1,0.03333333333333333
714,1414,1416,2,0.06666666666666667
726,1441,1452,11,0.36666666666666664
726,1461,1464,3,0.1
726,1494,1516,22,0.7333333333333333
713,1464,1465,1,0.03333333333333333
729,1480,1483,3,0.1
729,1495,1519,24,0.8
759,1486,1487,1,0.03333333333333333
759,1498,1503,5,0.16666666666666666
759,1506,1508,2,0.06666666666666667
759,1512,1516,4,0.13333333333333333
759,1518,1520,2,0.06666666666666667
759,1522,1523,1,0.03333333333333333
759,1590,1592,2,0.06666666666666667
759,1606,1607,1,0.03333333333333333
759,1615,1616,1,0.03333333333333333
710,1494,1495,1,0.03333333333333333
710,1515,1516,1,0.03333333333333333
710,1558,1559,1,0.03333333333333333
710,1560,1562,2,0.06666666666666667
772,1511,1513,2,0.06666666666666667
756,1514,1515,1,0.03333333333333333
792,1530,1539,9,0.3
792,1542,1544,2,0.06666666666666667
792,1547,1549,2,0.06666666666666667
792,1551,1552,1,0.03333333333333333
792,1554,1559,5,0.16666666666666666
792,1560,1561,1,0.03333333333333333
792,1567,1568,1,0.03333333333333333
4,1544,1546,2,0.06666666666666667
4,1551,1552,1,0.03333333333333333
4,3264,3265,1,0.03333333333333333
4,3273,3276,3,0.1
807,1554,1555,1,0.03333333333333333
834,1578,1579,1,0.03333333333333333
834,1582,1587,5,0.16666666666666666
834,1598,1600,2,0.06666666666666667
834,1636,1638,2,0.06666666666666667
888,1690,1691,1,0.03333333333333333
895,1691,1695,4,0.13333333333333333
895,1706,1710,4,0.13333333333333333
895,1711,1712,1,0.03333333333333333
895,1722,1723,1,0.03333333333333333
895,1726,1727,1,0.03333333333333333
895,1744,1745,1,0.03333333333333333
895,1751,1753,2,0.06666666666666667
895,1757,1759,2,0.06666666666666667
895,1760,1761,1,0.03333333333333333
895,1765,1766,1,0.03333333333333333
895,1771,1772,1,0.03333333333333333
895,1781,1808,27,0.9
895,1856,1862,6,0.2
903,1708,1725,17,0.5666666666666667
903,1726,1744,18,0.6
903,1745,1751,6,0.2
903,1753,1757,4,0.13333333333333333
903,1759,1760,1,0.03333333333333333
906,1741,1756,15,0.5
906,1757,1770,13,0.43333333333333335
906,1771,1772,1,0.03333333333333333
906,1781,1784,3,0.1
906,1785,1787,2,0.06666666666666667
906,1793,1796,3,0.1
929,1790,1793,3,0.1
929,1795,1796,1,0.03333333333333333
933,1820,1874,54,1.8
933,1876,1877,1,0.03333333333333333
950,1881,1883,2,0.06666666666666667
950,1885,1898,13,0.43333333333333335
953,1883,1884,1,0.03333333333333333
953,1961,1963,2,0.06666666666666667
966,1884,1885,1,0.03333333333333333
966,1898,1901,3,0.1
966,1956,1961,5,0.16666666666666666
966,1973,1976,3,0.1
966,2018,2021,3,0.1
966,2034,2035,1,0.03333333333333333
966,2036,2038,2,0.06666666666666667
997,1908,1909,1,0.03333333333333333
1013,1932,1936,4,0.13333333333333333
1032,1951,1956,5,0.16666666666666666
1046,1988,1989,1,0.03333333333333333
1062,2014,2015,1,0.03333333333333333
1062,2016,2029,13,0.43333333333333335
1062,2030,2036,6,0.2
931,2017,2021,4,0.13333333333333333
1081,2033,2037,4,0.13333333333333333
1081,2041,2043,2,0.06666666666666667
1081,2069,2071,2,0.06666666666666667
1104,2042,2044,2,0.06666666666666667
1104,2049,2050,1,0.03333333333333333
1104,2073,2082,9,0.3
1104,2085,2086,1,0.03333333333333333
1104,2114,2118,4,0.13333333333333333
1109,2066,2068,2,0.06666666666666667
1109,2070,2073,3,0.1
1109,2074,2076,2,0.06666666666666667
1109,2078,2081,3,0.1
1126,2096,2097,1,0.03333333333333333
1126,2098,2100,2,0.06666666666666667
737,2269,2272,3,0.1
737,2274,2282,8,0.26666666666666666
737,2284,2286,2,0.06666666666666667
737,2290,2508,218,7.266666666666667
737,2509,2510,1,0.03333333333333333
737,2512,2520,8,0.26666666666666666
737,3435,3445,10,0.3333333333333333
737,3932,3944,12,0.4
737,4115,4117,2,0.06666666666666667
737,4238,4239,1,0.03333333333333333
737,4241,4244,3,0.1
737,4263,4266,3,0.1
737,4272,4277,5,0.16666666666666666
737,4278,4282,4,0.13333333333333333
737,4284,4285,1,0.03333333333333333
737,4290,4291,1,0.03333333333333333
737,4344,4350,6,0.2
737,4354,4356,2,0.06666666666666667
737,4358,4361,3,0.1
1169,2297,2298,1,0.03333333333333333
1169,2304,2310,6,0.2
1169,2314,2321,7,0.23333333333333334
1138,2340,2341,1,0.03333333333333333
1138,2398,2399,1,0.03333333333333333
1138,2402,2403,1,0.03333333333333333
1138,2406,2411,5,0.16666666666666666
1186,2346,2347,1,0.03333333333333333
1183,2347,2352,5,0.16666666666666666
1183,2358,2361,3,0.1
1183,2366,2368,2,0.06666666666666667
1183,2373,2374,1,0.03333333333333333
1183,2384,2385,1,0.03333333333333333
1183,2388,2389,1,0.03333333333333333
1183,2406,2407,1,0.03333333333333333
1183,2417,2427,10,0.3333333333333333
1188,2385,2386,1,0.03333333333333333
1188,2388,2389,1,0.03333333333333333
1188,2402,2405,3,0.1
1188,2439,2441,2,0.06666666666666667
1188,2442,2447,5,0.16666666666666666
1188,2512,2514,2,0.06666666666666667
1203,2394,2402,8,0.26666666666666666
1203,2403,2405,2,0.06666666666666667
1203,2407,2429,22,0.7333333333333333
1203,2433,2434,1,0.03333333333333333
1225,2403,2406,3,0.1
1225,2409,2410,1,0.03333333333333333
1225,2411,2413,2,0.06666666666666667
1225,2414,2415,1,0.03333333333333333
1225,2427,2430,3,0.1
1231,2414,2415,1,0.03333333333333333
1231,2437,2439,2,0.06666666666666667
1231,2445,2447,2,0.06666666666666667
1246,2424,2427,3,0.1
1246,2441,2442,1,0.03333333333333333
1246,2445,2447,2,0.06666666666666667
1246,2466,2469,3,0.1
1246,2484,2485,1,0.03333333333333333
1246,2509,2510,1,0.03333333333333333
1246,2514,2521,7,0.23333333333333334
1246,2536,2539,3,0.1
1246,2558,2563,5,0.16666666666666666
1246,2591,2592,1,0.03333333333333333
1246,2607,2610,3,0.1
1232,2429,2433,4,0.13333333333333333
1275,2493,2494,1,0.03333333333333333
1275,2495,2497,2,0.06666666666666667
1275,2499,2501,2,0.06666666666666667
1275,2502,2506,4,0.13333333333333333
1282,2506,2507,1,0.03333333333333333
1282,2509,2511,2,0.06666666666666667
1282,2515,2516,1,0.03333333333333333
1282,2559,2560,1,0.03333333333333333
1268,2494,2510,16,0.5333333333333333
1326,2582,2583,1,0.03333333333333333
1326,2584,2586,2,0.06666666666666667
1326,2587,2588,1,0.03333333333333333
1326,2590,2595,5,0.16666666666666666
1326,2596,2604,8,0.26666666666666666
1330,2591,2594,3,0.1
1330,2595,2598,3,0.1
1330,2604,2605,1,0.03333333333333333
1330,2659,2660,1,0.03333333333333333
1330,2668,2671,3,0.1
1211,2392,2623,231,7.7
1211,2630,2632,2,0.06666666666666667
1211,2638,2639,1,0.03333333333333333
1211,2641,2643,2,0.06666666666666667
1211,2644,2648,4,0.13333333333333333
1211,2651,2652,1,0.03333333333333333
1211,2653,2668,15,0.5
1211,2671,2689,18,0.6
1211,2691,2741,50,1.6666666666666667
1211,2743,2747,4,0.13333333333333333
1211,2749,2751,2,0.06666666666666667
1211,2753,2822,69,2.3
1211,2852,2887,35,1.1666666666666667
1211,2888,2979,91,3.033333333333333
1211,2998,3001,3,0.1
1341,2641,2642,1,0.03333333333333333
1341,2643,2644,1,0.03333333333333333
1341,2646,2653,7,0.23333333333333334
1341,2768,2769,1,0.03333333333333333
1365,2693,2695,2,0.06666666666666667
1365,2717,2718,1,0.03333333333333333
1365,2745,2747,2,0.06666666666666667
1364,2695,2696,1,0.03333333333333333
1364,2700,2701,1,0.03333333333333333
1364,2743,2744,1,0.03333333333333333
1364,2762,2765,3,0.1
1364,2773,2774,1,0.03333333333333333
1364,2782,2784,2,0.06666666666666667
1364,2801,2810,9,0.3
1364,2812,2813,1,0.03333333333333333
1364,2819,2820,1,0.03333333333333333
1364,2836,2837,1,0.03333333333333333
1364,2839,2840,1,0.03333333333333333
1366,2695,2696,1,0.03333333333333333
1366,2697,2717,20,0.6666666666666666
1367,2695,2696,1,0.03333333333333333
1464,2888,2889,1,0.03333333333333333
1464,2902,2904,2,0.06666666666666667
1474,2906,2909,3,0.1
1474,2939,2941,2,0.06666666666666667
1474,2955,2958,3,0.1
1474,2966,2967,1,0.03333333333333333
1513,2974,2975,1,0.03333333333333333
1513,2990,2995,5,0.16666666666666666
1513,3001,3002,1,0.03333333333333333
1513,3085,3086,1,0.03333333333333333
1521,2994,2995,1,0.03333333333333333
1521,2997,2998,1,0.03333333333333333
1516,2994,2997,3,0.1
1516,2998,3003,5,0.16666666666666666
1522,3003,3005,2,0.06666666666666667
1522,3009,3010,1,0.03333333333333333
1522,3014,3015,1,0.03333333333333333
1522,3035,3036,1,0.03333333333333333
1522,3051,3053,2,0.06666666666666667
1522,3073,3076,3,0.1
1522,3077,3078,1,0.03333333333333333
1502,3013,3014,1,0.03333333333333333
1502,3034,3035,1,0.03333333333333333
1502,3045,3048,3,0.1
1502,3055,3058,3,0.1
1502,3072,3073,1,0.03333333333333333
1544,3035,3036,1,0.03333333333333333
1544,3125,3126,1,0.03333333333333333
1544,3136,3137,1,0.03333333333333333
1544,3161,3162,1,0.03333333333333333
1584,3269,3271,2,0.06666666666666667
1584,3274,3277,3,0.1
1584,3278,3323,45,1.5
1585,3274,3288,14,0.4666666666666667
1585,3298,3300,2,0.06666666666666667
1585,3307,3309,2,0.06666666666666667
1585,3311,3312,1,0.03333333333333333
1585,3322,3325,3,0.1
1585,3334,3336,2,0.06666666666666667
1585,3341,3342,1,0.03333333333333333
1585,3355,3360,5,0.16666666666666666
1585,3361,3362,1,0.03333333333333333
1585,3374,3375,1,0.03333333333333333
1590,3289,3290,1,0.03333333333333333
1590,3292,3295,3,0.1
1590,3297,3298,1,0.03333333333333333
1583,3305,3306,1,0.03333333333333333
1583,3313,3314,1,0.03333333333333333
1583,3325,3327,2,0.06666666666666667
1583,3328,3329,1,0.03333333333333333
1583,3334,3336,2,0.06666666666666667
1583,3355,3359,4,0.13333333333333333
1592,3326,3331,5,0.16666666666666666
1592,3333,3334,1,0.03333333333333333
1592,3369,3370,1,0.03333333333333333
1592,3401,3405,4,0.13333333333333333
1592,3406,3408,2,0.06666666666666667
1592,3420,3422,2,0.06666666666666667
1592,3424,3428,4,0.13333333333333333
1592,3435,3436,1,0.03333333333333333
1592,3438,3439,1,0.03333333333333333
1592,3449,3450,1,0.03333333333333333
1592,3455,3459,4,0.13333333333333333
1592,3467,3468,1,0.03333333333333333
1592,3471,3472,1,0.03333333333333333
1592,3473,3474,1,0.03333333333333333
1592,3481,3483,2,0.06666666666666667
1592,3484,3485,1,0.03333333333333333
1592,3486,3488,2,0.06666666666666667
1592,3495,3502,7,0.23333333333333334
1592,3503,3504,1,0.03333333333333333
1592,3507,3509,2,0.06666666666666667
1592,3517,3519,2,0.06666666666666667
1592,3524,3526,2,0.06666666666666667
1592,3533,3534,1,0.03333333333333333
1592,3537,3542,5,0.16666666666666666
1592,3544,3545,1,0.03333333333333333
1615,3336,3337,1,0.03333333333333333
1615,3358,3359,1,0.03333333333333333
1615,3573,3575,2,0.06666666666666667
1615,3602,3603,1,0.03333333333333333
1615,3618,3620,2,0.06666666666666667
1615,3627,3628,1,0.03333333333333333
1615,3629,3631,2,0.06666666666666667
1615,3672,3673,1,0.03333333333333333
1654,3370,3371,1,0.03333333333333333
1654,3401,3402,1,0.03333333333333333
1654,3403,3405,2,0.06666666666666667
1654,3434,3435,1,0.03333333333333333
1654,3459,3460,1,0.03333333333333333
1660,3389,3390,1,0.03333333333333333
1649,3386,3410,24,0.8
1649,3411,3415,4,0.13333333333333333
1649,3416,3419,3,0.1
1649,3426,3427,1,0.03333333333333333
1649,3430,3432,2,0.06666666666666667
1649,3441,3443,2,0.06666666666666667
1649,3456,3460,4,0.13333333333333333
1649,3461,3464,3,0.1
1649,3466,3467,1,0.03333333333333333
1649,3469,3471,2,0.06666666666666667
1707,3443,3444,1,0.03333333333333333
1707,3452,3456,4,0.13333333333333333
1707,3462,3479,17,0.5666666666666667
744,3451,3452,1,0.03333333333333333
744,4595,4598,3,0.1
744,6687,6692,5,0.16666666666666666
744,7716,7717,1,0.03333333333333333
1689,3463,3466,3,0.1
1689,3471,3474,3,0.1
1689,3487,3506,19,0.6333333333333333
1689,3507,3510,3,0.1
1736,3483,3484,1,0.03333333333333333
1736,3485,3486,1,0.03333333333333333
1736,3487,3539,52,1.7333333333333334
1735,3499,3500,1,0.03333333333333333
771,3514,3515,1,0.03333333333333333
1762,3516,3517,1,0.03333333333333333
1764,3521,3522,1,0.03333333333333333
1778,3556,3557,1,0.03333333333333333
1778,3575,3576,1,0.03333333333333333
1778,3580,3581,1,0.03333333333333333
1778,3601,3603,2,0.06666666666666667
1778,3605,3606,1,0.03333333333333333
1778,3666,3668,2,0.06666666666666667
1778,3687,3688,1,0.03333333333333333
1778,3690,3691,1,0.03333333333333333
1778,3692,3693,1,0.03333333333333333
1610,3561,3567,6,0.2
1817,3575,3577,2,0.06666666666666667
1832,3585,3587,2,0.06666666666666667
1832,3588,3592,4,0.13333333333333333
1832,3600,3601,1,0.03333333333333333
1863,3616,3618,2,0.06666666666666667
1863,3620,3621,1,0.03333333333333333
