track_id,area_id,time,frame,duration
8,2,30.033333333333335,901,30.0
3,2,30.033333333333335,901,30.0
11,1,30.066666666666666,902,30.0
377,1,53.733333333333334,1612,30.833333333333336
927,2,78.86666666666666,2366,30.199999999999996
962,2,79.4,2382,30.000000000000007
1214,1,96.63333333333334,2899,30.0
2065,1,149.46666666666667,4484,30.0
2063,1,150.16666666666666,4505,30.999999999999986
2717,2,180.93333333333334,5428,30.0
3163,1,203.2,6096,30.0
4260,1,261.2,7836,30.0
4276,1,266.46666666666664,7994,32.69999999999996
5975,1,362.1333333333333,10864,30.0
6021,1,377.96666666666664,11339,32.36666666666662
7354,1,423.0,12690,32.26666666666665
7478,2,426.3,12789,30.0
8312,1,481.8666666666667,14456,30.0
8931,1,504.26666666666665,15128,30.0
9732,1,550.2666666666667,16508,30.0
